"dist","n","avg_f","sd_f","avg_asian","sd_asian","avg_black","sd_black","avg_hisp","sd_hisp","avg_white","sd_white","avg_mult","sd_mult","avg_swd","sd_swd","avg_ell","sd_ell","avg_econ","sd_econ"
2,119,0.517210364592176,0.1162360432376,0.180331749215472,0.206343850779673,0.165066741455832,0.122372050822414,0.358573745106574,0.226005156647478,0.24827631634754,0.237173035289604,0.0477514500150598,0.033754587291434,0.186813879085063,0.0731418369530806,0.0954058807335418,0.167845107477504,0.556715054609695,0.28367722699203
3,44,0.504369319839911,0.0693644397701481,0.0614347478523004,0.0667868150267168,0.268567175985399,0.194965375858797,0.376218815588138,0.19373024127925,0.247731431980025,0.229227905788541,0.0460478269960731,0.0352801318729685,0.211009575900706,0.0747504338967082,0.0664810584262754,0.0557012306142622,0.587370794605125,0.282260018234113
4,29,0.51325158004103,0.10831935587685,0.0655319243348364,0.0824531030787742,0.249962969072934,0.0895116552655662,0.605130476170573,0.156715889459922,0.0488766886550805,0.0575298283687168,0.0304979464231894,0.0259680274719414,0.266588827659344,0.0816463238042559,0.111646152005113,0.0946407579990596,0.82936722142943,0.134523470708059
5,27,0.470753689606984,0.122302652454359,0.0328391237115418,0.0564246580774208,0.494003027125641,0.161479537538135,0.39271877043777,0.125509126252794,0.0529253247228486,0.0751162324701965,0.0275137555371556,0.028111758859197,0.267694845933605,0.0865148980309182,0.0900212839694211,0.0608181425917459,0.84340391225285,0.143921033389207
6,46,0.486576971800431,0.035324678073629,0.0129080560164648,0.0134888761449247,0.060550309980855,0.0580593926499144,0.858985864597818,0.129362110059943,0.0562538512040982,0.0902187304742967,0.011301920238032,0.0146535186167561,0.207688026373153,0.0639604800522827,0.313732432768397,0.182923236140491,0.833751217178676,0.124769423547956
7,41,0.468881578343671,0.101128323054801,0.0109162642904444,0.0109249407276056,0.262011453509331,0.0637410221273001,0.698796839248843,0.0679980524398999,0.0149849106489522,0.00974398269197123,0.0132905362349958,0.0107865946932872,0.24816857278347,0.0577565203623133,0.169884812086821,0.128837690454665,0.915819029982497,0.040289099552438
8,52,0.489955631586222,0.0917178712369888,0.0588622515922627,0.0798494863753734,0.232397446767069,0.0978984820251827,0.642613761700117,0.0966515627604793,0.0498243234603881,0.0546316374897656,0.0163022170129877,0.0108774531819035,0.238845830210126,0.0531913019035231,0.146491104181713,0.118948972665914,0.836843928465476,0.122744601520991
9,70,0.49741464981011,0.0997961503338453,0.0137591431815443,0.0160050977529608,0.274989925990147,0.09915259256976,0.687572860717773,0.102083186891885,0.0142039923928678,0.01139537309221,0.00947408095235005,0.00772439489254329,0.229407582219158,0.0606113427226684,0.245614581714783,0.176449446988915,0.926073484761374,0.037387899983251
13,42,0.494810716382095,0.113731242329112,0.0658199350527,0.098756472206662,0.587044869970885,0.206075441935007,0.208682254843769,0.0867428140546111,0.108523218072064,0.163897048470615,0.0299297224486335,0.0239415867079399,0.216026367287018,0.0862844513589274,0.0687771758464459,0.116477732188267,0.717318539285944,0.213849258039183
14,38,0.478612980560253,0.120195358895814,0.0417869123140056,0.0910058297584494,0.218389579143963,0.144271686998212,0.595720433875134,0.182900468208011,0.125624255362996,0.181064872385833,0.0184788149781525,0.0171731111232099,0.223799561640542,0.0795855617419309,0.122866993475901,0.074222275110051,0.770982049013439,0.158972747158846
15,50,0.499742463827133,0.0627493662743255,0.13271727476269,0.153608885818823,0.174532689386979,0.196474896340995,0.366109498515725,0.227393476851189,0.288872153339908,0.252403970760616,0.0377683848608285,0.0303486609143743,0.210950234010816,0.0865702396187545,0.128773463931866,0.148451634662244,0.57415446922183,0.277584360127355
16,24,0.477572900553544,0.0623381375566565,0.0220817927814399,0.017311907326366,0.722247856358687,0.0959290616230067,0.204092158004642,0.0768251074076724,0.0308511964976788,0.0229745829484364,0.0207269932434428,0.0120064455169745,0.267363481844465,0.0686800597763764,0.0547099948938315,0.0383744504894871,0.854237454632918,0.0710387942010236
17,49,0.488914697145929,0.0912507720127701,0.0303401970352065,0.0300824058991936,0.744765687657862,0.119362768647237,0.165063345842824,0.0818533330662586,0.0337365128964718,0.0388064200353551,0.0260942537641647,0.0229436437559949,0.202149807266435,0.0575651578413455,0.112390257009514,0.129526784241822,0.78662576845714,0.0936984118072335
21,41,0.468227590002665,0.0681723842227309,0.234958321991854,0.12822895551885,0.153382848528009,0.187721336663925,0.283950435951716,0.104870846552646,0.308815917772491,0.165595389268603,0.0188924796231909,0.0156970876984243,0.196181548941063,0.0680609137778331,0.198150530321206,0.152897910350602,0.754922075242531,0.124723258024755
22,41,0.492725143345391,0.0369865924509402,0.17059340309806,0.125453370897414,0.361282912219261,0.251391946509932,0.166496693133944,0.0842308256472361,0.27664574701339,0.22672021075309,0.0249812477041127,0.014423410331753,0.178761309966808,0.0487767432259181,0.126753817425995,0.0868756381672389,0.648168121896139,0.150815828503879
24,56,0.481861324182578,0.0554882875995622,0.176180428442811,0.151691324603366,0.027690304841339,0.0275531617262144,0.639398934053523,0.215614141262881,0.14161725327306,0.164876783268701,0.0151130808766798,0.0153945373767411,0.167543318688071,0.0561091045768673,0.227208780224568,0.199892199839779,0.709434843489102,0.159041565029324
27,64,0.477787762414664,0.0395354329451013,0.184522821116843,0.16126349051144,0.268399018401396,0.231107248373124,0.387974631390534,0.166447886818253,0.10341017677456,0.180421620393689,0.0556933519474114,0.0595062992206268,0.187263876025099,0.0603264711577923,0.110009907913081,0.080087651585241,0.684368676971644,0.161007820587815
29,47,0.476386564843198,0.0880606607998371,0.119200668872354,0.158050687728781,0.678349947517223,0.251404846831275,0.144227018936517,0.0957976617420445,0.0160121118025656,0.0108097946009347,0.0422102491113734,0.0335798144160618,0.170048181839446,0.0399027616782493,0.0774492007046145,0.0558052433135042,0.610505965795923,0.0985573755004589
30,50,0.498602550625801,0.10052461639818,0.209919410999864,0.121148568189751,0.0775781493959948,0.0932935023754129,0.514601226001978,0.199286141374135,0.17091423840262,0.140089324898734,0.0269869768572971,0.0242126563209419,0.156237554531544,0.0659261824699809,0.183811017684639,0.180833777998618,0.669356003701687,0.178280433038342
32,27,0.479584572491822,0.0394720982511983,0.0192640851881286,0.0190577042012992,0.171452067826909,0.131899923224903,0.780008471674389,0.139815915045001,0.0227279109121473,0.0183816974084301,0.00654746143630257,0.00720469367182856,0.221589436961545,0.0542564341238739,0.206315322261718,0.0982397821271634,0.874954093385626,0.0616990092757445
